Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PUBLIC,NSW,GRAFTON BASE HOSPITAL,0011300H,174 ARTHUR STREET,GRAFTON,2460,NO,,,,
PUBLIC,WA,GRAYLANDS SELBY-LEMNOS & SPECIAL CARE HOSPITAL,0071590W,BROCKWAY ROAD & 6 LEMNOS STREET,MOUNT CLAREMONT,6010,NO,,,,
PUBLIC,VIC,GREAT OCEAN ROAD HEALTH - LORNE COMMUNITY HOSPITAL,0030620K,1 ALBERT STREET,LORNE,3232,NO,,,PHI 25/20,
PUBLIC,VIC,GREAT OCEAN ROAD HEALTH - OTWAY HEALTH,0030040J,37-43 MCLACHLAN STREET,APOLLO BAY,3233,NO,,,PHI 25/20,
PRIVATE,SA,GREENHILL DENTAL DAY SURGERY,0067210L,62 GREENHILL ROAD,WAYVILLE,5034,YES,20-05-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 04/20; 24/21; 30/22; 45/25; 58/25,
PRIVATE,VIC,GREENSBOROUGH DAY SURGERY,0044180T,9-13 FLINTOFF STREET,GREENSBOROUGH,3088,YES,16-08-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 77/18; 05/19; 12/19; 54/20; 53/23; 56/24,
PRIVATE,QLD,GREENSLOPES PRIVATE HOSPITAL,0055860K,NEWDEGATE STREET,GREENSLOPES,4120,YES,20-07-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 28/20; 63/22; 69/23,
PUBLIC,NSW,GREENWICH HOSPITAL,0012510K,97-115 RIVER ROAD,GREENWICH,2065,NO,,,,
PRIVATE,NSW,GREGORY HILLS RENAL CARE CENTRE,0017630H,"UNIT 3 & 4, 31 LASSO ROAD",GREGORY HILL,2557,NO,18-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 30/21; 55/21; 06/23,
PUBLIC,NSW,GRENFELL MULTI PURPOSE SERVICE,0011320B,80-96 COWRA ROAD,GRENFELL,2810,NO,,,,
PUBLIC,NSW,GRIFFITH BASE HOSPITAL,0011340Y,1 NOOREBAR AVENUE,GRIFFITH,2680,NO,,,PHI 69/19,
PRIVATE,SA,GRIFFITH REHABILITATION HOSPITAL,0065120J,13 DUNROBIN ROAD,HOVE,5048,YES,24-11-27,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 76/20; 16/22; 82/24,
PUBLIC,NSW,GULARGAMBONE MULTI PURPOSE SERVICE,0011060H,47 BOURBAH STREET,GULARGAMBONE,2828,NO,,,,
PUBLIC,NSW,GULGONG HEALTH SERVICE,0011350X,112-114 MAYNE STREET,GULGONG,2852,NO,,,,
PUBLIC,SA,GUMERACHA HOSPITAL,0060210B,2 ALBERT STREET,GUMERACHA,5233,NO,,,,
PUBLIC,NSW,GUNDAGAI DISTRICT HOSPITAL,0011360W,56 TOR STREET,GUNDAGAI,2722,NO,,,PHI 69/19,
PUBLIC,NSW,GUNNEDAH DISTRICT HOSPITAL,0011370T,2 MARQUIS STREET,GUNNEDAH,2380,NO,,,,
PUBLIC,NSW,GUYRA MULTI PURPOSE SERVICE,0011380L,44-48 SOLE STREET,GUYRA,2365,NO,,,,
PUBLIC,QLD,GYMPIE HOSPITAL,0050520F,12 HENRY STREET,GYMPIE,4570,NO,,,,
PRIVATE,VIC,HABITAT THERAPEUTICS PRIVATE HOSPITAL,0037030Y,117 HELMS STREET,NEWCOMB,3219,YES,19-01-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 12/19; 17/19; 19/20; 15/21; 76/21; 54/22; 11/25; 24/25; 30/25,
PRIVATE,QLD,HADER CLINIC QUEENSLAND PRIVATE,0056230K,30 FRASER ROAD,GYMPIE ,4570,YES,10-08-27,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 30/21; 44/21; 02/23; 50/24,
PUBLIC,WA,HALLS CREEK HOSPITAL,0070340Y,70 ROBERTA AVENUE,HALLS CREEK,6770,NO,,,,
PRIVATE,NSW,HAMILTON DAY SURGERY CENTRE,0027010X,76 JENNER PARADE,HAMILTON SOUTH,2303,YES,06-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 44/20; 22/22; 53/23,
PRIVATE,SA,HAMILTON HOUSE DAY SURGERY,0657401W,470 GOODWOOD ROAD,CUMBERLAND PARK,5041,NO,23-12-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 72/21; 02/24,
PRIVATE,VIC,HAMPTON DAY HOSPITAL,0044230Y,338 SOUTH ROAD,HAMPTON EAST,3188,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,"PHI 61/19; 63/19, 69/19",
PRIVATE,SA,HARLEY DAY SURGERY,0067320H,63 PALMER PLACE,NORTH ADELAIDE,5006,YES,11-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 86/21; 89/21; 23/23,
PUBLIC,WA,HARVEY DISTRICT HOSPITAL,0070350X,45 HAYWARD STREET,HARVEY,6220,NO,,,PHI 49/21,
PUBLIC,SA,HAWKER MEMORIAL HOSPITAL,0060220A,9 DRUID RANGE DRIVE,HAWKER,5434,NO,,,PHI 72/25,
PUBLIC,NSW,HAWKESBURY DISTRICT HOSPITAL,0012930L,2 DAY STREET,WINDSOR,2756,NO,,,PHI 46/24,
PUBLIC,NSW,HAY DISTRICT HOSPITAL,0011410A,351 MURRAY STREET,HAY,2711,NO,,,,
PUBLIC,VIC,HEALESVILLE & DISTRICT HOSPITAL,0030500X,377 MAROONDAH HIGHWAY,HEALESVILLE,3777,NO,,,,
PRIVATE,WA,HEALTHE CARE MARIAN CENTRE,0075610X,187 CAMBRIDGE STREET,WEMBLEY,6014,YES,30-12-27,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 84/20; 35/22; 86/24,
PRIVATE,NSW,HEALTHWOODS ENDOSCOPY CENTRE,0027110T,53 COWPER STREET,GRANVILLE,2142,YES,10-02-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 28/20 32/23;11/24,
PUBLIC,VIC,HEATHCOTE HEALTH,0030510W,39 HOSPITAL STREET,HEATHCOTE,3523,NO,,,,
PUBLIC,WA,HEDLAND HEALTH CAMPUS,0071600J,2-24 COLEBATCH WAY,SOUTH HEDLAND,6722,NO,,,,
PUBLIC,NSW,HENTY MULTI PURPOSE SERVICE,0011430X,7 KEIGHRAN STREET,HENTY,2658,NO,,,,
PUBLIC,QLD,HERBERTON HOSPITAL,0050540A,23 GRACE STREET,HERBERTON,4887,NO,,,PHI 77/19,
PRIVATE,QLD,HERSTON PRIVATE HOSPITAL,0056260F,"GROUND FLOOR AND FLOORS 1 & 2, 7 WREN STREET,",BOWEN HILLS,4006,YES,27-11-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 52/22; 54/22; 68/22; 23/24; 15/25; 24/25 ,
PUBLIC,QLD,HERVEY BAY HOSPITAL,0051440X,CNR NISSEN STREET AND URAWEEN ROADS,PIALBA,4655,NO,,,PHI 63/19,
PRIVATE,QLD,HERVEY BAY SURGICAL HOSPITAL,0056060L,CNR O'ROURKE STREET & BOAT HARBOUR DRIVE,PIALBA,4655,YES,05-07-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 21/21; 34/24; 50/25,
PUBLIC,VIC,HESSE RURAL HEALTH SERVICE,0030100L,8 GOSNEY STREET,WINCHELSEA,3241,NO,,,,
PRIVATE,VIC,HEYFIELD HOSPITAL INC,0035330B,14 LICOLA ROAD,HEYFIELD,3858,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 77/22,
PUBLIC,VIC,HEYWOOD RURAL HEALTH,0030520T,21 BARCLAY STREET,HEYWOOD,3304,NO,,,,
PRIVATE,QLD,HILLCREST - ROCKHAMPTON PRIVATE HOSPITAL,0055750W,4 TALFORD STREET,ROCKHAMPTON,4700,YES,19-06-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 20/21; 30/22; 42/25,
PUBLIC,NSW,HILLSTON DISTRICT HOSPITAL,0011440W,48C BURNS STREET,HILLSTON,2675,NO,,,,
PRIVATE,TAS,HOBART DAY SURGERY,0999271K,10 WARNEFORD STREET,HOBART,7000,YES,04-10-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 30/19; 72/21; 23/24; 75/24; 15/25,
PRIVATE,TAS,HOBART EYE SURGEONS,0085260J,182 ARGYLE STREET,HOBART,7000,YES,11-07-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 18/22; 41/22; 50/24,
PRIVATE,TAS,HOBART PRIVATE HOSPITAL,0085110A,CORNER ARGYLE STREET AND COLLINS STREET,HOBART,7001,YES,01-12-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 82/20; 16/22; 75/24; 82/24,
PRIVATE,TAS,HOBART SPECIALIST DAY HOSPITAL,0087070Y,"1ST FLOOR, 2 MELVILLE STREET",HOBART,7000,YES,22-04-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 62/18; 46/19; 07/22; 14/23,
PRIVATE,VIC,HOBSON HEALTHCARE SYDENHAM,0044030H,566 MELTON HIGHWAY,SYDENHAM,3037,YES,28-11-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 83/21; 41/22; 68/22; 34/23,
PRIVATE,VIC,HOBSON HEALTHCARE WERRIBEE,0043870X,179 PRINCES HIGHWAY,WERRIBEE,3030,YES,24-11-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 83/21; 41/22; 34/23,
PUBLIC,NSW,HOLBROOK DISTRICT HOSPITAL,0011450T,22 BOWLER STREET,HOLBROOK,2644,NO,,,,
PRIVATE,WA,HOLLYWOOD PRIVATE HOSPITAL,0075490K,MONASH AVENUE,NEDLANDS,6009,YES,31-10-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 63/20; 22/22; 75/24,
PRIVATE,VIC,HOLMESGLEN PRIVATE HOSPITAL,0036350L,490 SOUTH ROAD,MOORABBIN,3189,YES,25-08-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 49/21; 50/24; 70/25,
PRIVATE,NSW,HOLROYD PRIVATE HOSPITAL,0015500K,123-129 CHETWYND ROAD,GUILDFORD,2161,YES,07-10-28,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 04/20; 90/20; 01/24; 70/25,
PUBLIC,QLD,HOME HILL HOSPITAL,0050550Y,EIGHTH AVENUE,HOME HILL,4806,NO,,,,
PRIVATE,NSW,HONEYSUCKLE DAY HOSPITAL,0027560K,"UNIT 2, 19 HONEYSUCKLE DRIVE",NEWCASTLE,2300,YES,11-01-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 04/19; 21/19; 63/20; 16/22; 79/23; 07/25,
PRIVATE,QLD,HOPEWELL HOSPICE,0056050T,11 DUNKIRK CLOSE,ARUNDEL,4214,YES,21-06-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 30/19; 30/22; 45/25,
PUBLIC,NSW,HORNSBY KU-RING-GAI HOSPITAL,0010140T,36-76 PALMERSTON ROAD,HORNSBY,2077,NO,,,,
PRIVATE,SA,HOVE DAY SURGERY,0067330F,387 - 389 BRIGHTON ROAD,HOVE,5048,YES,04-06-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 27/23; 48/23; 15/25,
PUBLIC,QLD,HUGHENDEN HOSPITAL,0050560X,12 RICHMOND HILL DRIVE,HUGHENDEN,4821,NO,,,,
PRIVATE,QLD,HUMMINGBIRD HOUSE,0056190B,60 CURWEN TERRACE,CHERMSIDE,4032,YES,26-09-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 22/20; 68/20; 69/23; 69/24,
PUBLIC,NSW,HUNTER NEW ENGLAND MENTAL HEALTH SERVICE,0012890F,2-10 EDITH STREET,WARATAH,2298,NO,,,,
PRIVATE,NSW,HUNTER VALLEY PRIVATE HOSPITAL,0016490K,20 MAWSON STREET,SHORTLAND,2307,YES,26-08-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 49/21; 50/24; 62/25,
PRIVATE,NSW,HUNTERS HILL PRIVATE HOSPITAL,0015560Y,9 MOUNT STREET,HUNTERS HILL,2110,YES,10-01-27,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 32/20; 77/22; 84/23,
PUBLIC,TAS,HUON REGIONAL CARE,0085230T,3278 HUON HIGHWAY,FRANKLIN,7113,NO,,,,
PRIVATE,NSW,HURSTVILLE PRIVATE HOSPITAL,0015570X,37 GLOUCESTER ROAD,HURSTVILLE,2220,YES,19-06-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 77/19; 30/20; 72/21; 06/23; 45/25,
PRIVATE,SA,ICON CANCER CENTRE ADELAIDE,0067150J,"SUITE 10, FIRST FLOOR, TENNYSON CENTRE, 520 SOUTH ROAD",KURRALTA PARK,5037,YES,17-09-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 82/19; 04/20; 21/21; 50/22; 78/23,
PRIVATE,ACT,ICON CANCER CENTRE CANBERRA,0097060H,UNIVERSITY OF CANBERRA MEDICAL CENTRE CORNER BROULA & ALLAWOONA STREETS,BRUCE,2617,NO,05-06-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 17/19; 21/19; 26/19; 28/20; 06/23; 41/24,
PRIVATE,QLD,ICON CANCER CENTRE CHERMSIDE,0056080J,"CHERMSIDE MEDICAL CENTRE, 930-956 GYMPIE ROAD",CHERMSIDE,4032,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 47/19; 60/21; 80/21; 11/25,
PRIVATE,VIC,ICON CANCER CENTRE GEELONG,0037050W,1 EPWORTH PLACE,WAURN PONDS,3216,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 03/20,
PRIVATE,TAS,ICON CANCER CENTRE HOBART,0087060A,"GROUND FLOOR, 2 MELVILLE STREET",HOBART,7000,YES,23-11-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 29/20; 08/22; 77/22,
PRIVATE,QLD,ICON CANCER CENTRE MACKAY,0057510W,148 SAMS ROAD,MACKAY,4740,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 29/20; 08/22; 11/25,
PRIVATE,WA,ICON CANCER CENTRE MIDLAND,0077210X,6 CENTENNIAL PLACE,MIDLAND,6056,YES,17-09-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 08/20; 60/21; 78/23,
PRIVATE,VIC,ICON CANCER CENTRE MORELAND,0044240X,275 MORELAND ROAD,COBURG,3058,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 77/19; 08/20,
PRIVATE,QLD,ICON CANCER CENTRE NORTH LAKES,0057450L,9 MCLENNAN COURT,NORTH LAKES,4509,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 47/19; 07/21; 80/21; 11/25,
PRIVATE,NSW,ICON CANCER CENTRE REVESBY,0027510Y,1-3 MACARTHUR STREET,REVESBY,2212,NO,05-06-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 08/20; 60/21; 41/24,
PRIVATE,WA,ICON CANCER CENTRE ROCKINGHAM,0077270H,2 CIVIC BOULEVARD,ROCKINGHAM ,6168,YES,17-09-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 34/18; 42/18; 28/20; 50/22; 78/23,
PRIVATE,QLD,ICON CANCER CENTRE SOUTH BRISBANE,0925691B,293 VULTURE STREET,SOUTH BRISBANE,4101,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 47/19; 60/21; 80/21; 11/25,
PRIVATE,QLD,ICON CANCER CENTRE SOUTHPORT,0057340X,"LEVEL 9, PREMION PLACE, 39 WHITE STREET",SOUTHPORT,4215,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 47/19; 60/21; 80/21; 11/25,
PRIVATE,QLD,ICON CANCER CENTRE TOWNSVILLE,0057400A,9-13 BAYSWATER ROAD,HYDE PARK,4812,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 47/19; 90/20; 80/21; 11/25,
PRIVATE,QLD,ICON CANCER CENTRE WESLEY,0895551A,"1ST FLOOR, WESLEY MEDICAL CENTRE, 40 CHASLEY STREET",AUCHENFLOWER,4066,NO,21-01-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 47/19; 60/21; 80/21; 11/25,
PRIVATE,SA,ICON CANCER CENTRE WINDSOR GARDENS,0067250F,"TENANCY 1, LEVEL 1, 480 NORTH EAST ROAD",WINDSOR GARDENS,5087,YES,17-09-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 62/18; 82/19; 28/20; 50/22; 78/23,
PRIVATE,NSW,ILLAWARRA PRIVATE CANCER CARE & RESEARCH CENTRE,0026930J,35 DENISON STREET,WOLLONGONG,2500,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,VIC,IMAGING @ OLYMPIC PARK,0044000L,"AAMI PARK SUITE 2, 60 OLYMPIC BOULEVARD",MELBOURNE,3000,YES,12-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 82/19; 77/22; 84/23,
PRIVATE,ACT,IMH DEAKIN PRIVATE HOSPITAL,0095140A,CORNER OF STRICKLAND CRESCENT AND DENISON STREET,DEAKIN,2600,YES,23-11-27,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 17/23; 32/23; 82/24,
PRIVATE,NSW,IMH HIRONDELLE PRIVATE HOSPITAL,0015550A,10 WYVERN AVENUE,CHATSWOOD,2067,YES,15-09-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 30/20; 53/23; 11/24; 15/24; 18/24; 65/25,
PRIVATE,QLD,IMH NUNDAH PRIVATE HOSPITAL,0056310K,"FLOORS GROUND, 2,3 & 4, 20 NELLIE STREET",NUNDAH,4012,YES,17-09-26,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 87/24; 23/25; 24/25,
PUBLIC,QLD,INGHAM HOSPITAL,0050570W,2-16 MCILWRAITH STREET,INGHAM,4850,NO,,,,
PUBLIC,VIC,INGLEWOOD AND DISTRICT HEALTH SERVICE,0030530L,3 HOSPITAL STREET,INGLEWOOD,3517,NO,,,,
PUBLIC,QLD,INGLEWOOD MULTIPURPOSE HEALTH SERVICE,0050580T,CUNNINGHAM HIGHWAY,INGLEWOOD,4387,NO,,,,
PUBLIC,QLD,INJUNE HOSPITAL,0050590L,FIFTH AVENUE,INJUNE,4454,NO,,,,
PRIVATE,NSW,INNER WEST ENDOSCOPY CENTRE,0657041B,311 MARRICKVILLE ROAD,MARRICKVILLE,2204,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,QLD,INNISFAIL HOSPITAL,0050600F,87 RANKIN STREET,INNISFAIL,4860,NO,,,,
PRIVATE,NSW,INSIGHT PRIVATE HOSPITAL,0656151F,"LEVEL 5, 470 WODONGA PLACE",ALBURY,2640,YES,23-11-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 36/19; 76/20; 44/22; 48/23; 53/23; 82/24,
PUBLIC,NSW,INVERELL DISTRICT HOSPITAL,0011460L,41 SWANBROOK ROAD,INVERELL,2360,NO,,,,
PRIVATE,QLD,IPSWICH DAY HOSPITAL,0999431K,10 CHURCHILL STREET,IPSWICH,4305,YES,10-06-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 72/21; 34/23,
PRIVATE,QLD,IPSWICH HOSPICE CARE,0055950J,"37 CHERMSIDE ROAD, EASTERN HEIGHTS",IPSWICH,4305,YES,08-07-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 32/19; 41/22; 62/25; 65/25,
PUBLIC,QLD,IPSWICH HOSPITAL,0050610B,7 CHELMSFORD AVENUE,IPSWICH,4305,NO,,,,
PRIVATE,VIC,IVANHOE ENDOSCOPY CENTRE,0043400F,2/226 UPPER HEIDELBERG ROAD,IVANHOE,3079,YES,09-05-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 51/20; 63/23,
PUBLIC,NSW,IVANHOE HEALTH SERVICE,0011490H,11 COLUMBUS STREET,IVANHOE,2878,NO,,,,
PUBLIC,QLD,JACARANDA PLACE � QUEENSLAND ADOLESCENT EXTENDED TREATMENT CENTRE,0051970T,78 FARNELL STREET,CHERMSIDE,4032,NO,,,PHI 61/20,
PUBLIC,SA,JAMES NASH HOUSE,0060880J,140 HILLTOP DRIVE,OAKDEN,5086,NO,,,,
PUBLIC,SA,JAMESTOWN HOSPITAL AND HEALTH SERVICE,0060230Y,100 SOUTH TERRACE,JAMESTOWN,5491,NO,,,PHI 62/25,
PRIVATE,NSW,JAMISON STREET DAY SURGERY,0027540T,SUITE 151 - 1 JAMISON STREET,SYDNEY,2000,YES,11-02-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 87/21; 94/24,
PUBLIC,QLD,JANDOWAE HOSPITAL,0050630Y,13 DALBY STREET,JANDOWAE,4410,NO,,,,
PUBLIC,NSW,JERILDERIE MULTI PURPOSE SERVICE,0011500Y,33-39 SOUTHEY STREET,JERILDERIE,2716,NO,,,,
PRIVATE,VIC,JESSIE MCPHERSON PRIVATE HOSPITAL,0035000Y,246 CLAYTON ROAD,CLAYTON,3168,YES,22-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 30/19; 03/21; 89/21; 92/24,
PRIVATE,VIC,JOHN FAWKNER PRIVATE HOSPITAL,0035850A,275 MORELAND ROAD,COBURG,3058,YES,12-07-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 35/21; 41/24; 50/25,
PRIVATE,QLD,JOHN FLYNN PRIVATE HOSPITAL,0055820X,42 INLAND DRIVE,TUGUN,4224,YES,05-05-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 32/20; 18/23; 23/24,
PUBLIC,NSW,JOHN HUNTER HOSPITAL ROYAL NEWCASTLE CENTRE,0012790J,2 LOOKOUT ROAD,NEW LAMBTON,2305,NO,,,,
PRIVATE,VIC,JOLIMONT DAY HOSPITAL,0037130W,"LEVEL 2, 150 JOLIMONT ROAD",EAST MELBOURNE,3002,YES,03-06-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 65/24; 82/24,
